nf,codigo,descricao,quantidade,unidade,valor_por_unidade,taxa_referencial,valor_total_item,desconto
20200614_Sams,116558,AG MIN VOSS S G 500M,2,UN,19.88,0.00,134.16
20200614_Sams,115152,CERVEJA HEINEKEN ZERO 6,4,UN,33.54,0.00,134.16
20200614_Sams,148545,CERVEJA ESTRELLA GALICI,1,UN,35.99,0.00,35.99
20200614_Sams,129811,PASSATA DI POMODORO	    ,12.0000	UN	X14.02	(0.00)	168.24
20200614_Sams,130518	MANTEIGA COM SAL MEM	,2.0000	UN	X19.88	(1.67)	39.76
20200614_Sams,134248	MANTEIGA TABLETE C S	,2.0000	UN	X9.78	(0.82)	19.56
20200614_Sams,131156	IOGURTE NESTLE VIT D	,2.0000	UN	X10.88	(0.00)	21.76
20200614_Sams,132967	BISTECA SUINA SADIA	    ,0.8860	KG	X17.98	(0.67)	15.93
20200614_Sams,128742	FRUTAS VERMELHAS 400	,1.0000	UN	X18.90	(0.00)	18.90
20200614_Sams,131774	WAFFLE TRAD 525G FOR	,1.0000	UN	X20.88	(6.36)	20.88
20200614_Sams,133224	STROGONOFF COXAO MOL	,0.5300	KG	X51.17	(1.14)	27.12
20200614_Sams,128016	OVO BCO GDE 5 DUZ ME	,1.0000	UN	X37.98	(1.60)	37.98
20200614_Sams,131840	FILE TILAPIA 1KG TIL	,1.0000	UN	X49.90	(2.10)	49.90
20200614_Sams,134131	PAO DE QJO CATUP 1KG	,1.0000	UN	X34.88	(10.62)	34.88
20200614_Sams,134142	FILE DE PEITO BIFE R	,0.8780	KG	X28.52	(0.48)	25.04,13.72
20200614_Sams,125968	CREME DE LEITE TP IT	,4.0000	UN	X3.06	(0.51)	12.24
20200614_Sams,114611	SACOLA PLASTICA MM V	,7.0000	UN	X0.27	(0.18)	1.89
20200614_Sams,159385	BEB VEG NOT MILK LEV	,12.0000	UN	X14.38	(0.00)	172.56
20200614_Sams,166531	PAPEL TOALHA MILI FD	,1.0000	UN	X19.98	(2.10)	19.98
20200614_Sams,133935	TOMATE ITALIANO KG  	,1.0017	KG	X11.88	(0.50)	11.90
20200614_Sams,160280	CLASSIC DUPLO LEITE	    ,1.0000	UN	X39.98	(27.78)	39.98
20200614_Sams,118083	AZEITONA VERDE FATIA	,1.0000	UN	X19.06	(10.37)	19.06
20200614_Sams,118084	AZEITONA VERDE S CAR	,1.0000	UN	X19.06	(10.37)	19.06
20200614_Sams,142379	LEGO SUPER HEROES LK	,1.0000	UN	X80.08	(38.91)	80.08,20.08
20200614_Sams,157574	LATA MINI COOKIES GO	,1.0000	UN	X32.98	(10.05)	32.98
20200614_Sams,129573	LEITE FERMENTADO YAK	,1.0000	UN	X8.78	(0.37)	8.78
20200614_Sams,163484	CREME DE AVELA NUTKA	,1.0000	UN	X29.98	(20.83)	29.98
20200614_Sams,118144	BISCOITO SEQUILHO 45	,1.0000	UN	X29.98	(9.13)	29.98
20200614_Sams,117218	PENNE 2X400G NAO CON	,1.0000	UN	X45.98	(22.92)	45.98
20200614_Sams,125831	LEITE COND MOCA SEMI	,3.0000	UN	X4.98	(0.63)	14.94
20200614_Sams,136459	AZEITE MEMBER S ORGA	,1.0000	UN	X49.98	(0.00)	49.98
20200614_Sams,129019	BOLO DE LARANJA 300G	,1.0000	UN	X8.38	(4.14)	8.38
20200614_Sams,118103	PALMITO PUPUNHA INT 	,1.0000	UN	X39.28	(11.96)	39.28
20200614_Sams,130110	BISNAGUINHAS 300G PA	,2.0000	UN	X6.38	(3.89)	12.76
20200614_Sams,160240	CHA LEAO MISTO CAM C	,1.0000	UN	X13.08	(3.33)	13.08
20200614_Sams,134118	PAO INT GIRAS E CAST	,1.0000	UN	X9.48	(2.89)	9.48
20200614_Sams,122928	PRINGLES ORIGINAL TR	,1.0000	UN	X28.44	(8.66)	28.44
20200614_Sams,134154	PAO FORMA 500G PANCO	,1.0000	UN	X5.92	(1.81)	5.92
20200614_Sams,123795	ALFACE CRESPA UNIDAD	,2.0000	UN	X4.96	(0.42)	9.92
20200614_Sams,123797	COUVE MANTEIGA UNIDA	,1.0000	UN	X4.96	(0.21)	4.96
20200614_Sams,125274	PCT BAT DOCE RX KG  	,1.3423	KG	X2.98	(0.17)	4.00
20200614_Sams,117224	MAIONESE VEGANA GARL	,1.0000	UN	X12.98	(3.31)	12.98
20200614_Sams,133843	PAO ITALIANO MEMBERS	,0.4402	KG	X21.90	(2.94)	9.64
20200614_Sams,123115	LIMAO TAITI 1KG	        ,1.0000	UN	X5.79	(0.24)	5.79
20200614_Sams,169831	TOMATE GRAPE 450G ME	,1.0000	UN	X12.43	(0.52)	12.43
20200614_Sams,125574	PCT PEPINO JAPONES K	,0.5957	KG	X8.78	(0.22)	5.23
20200614_Sams,114447	WHEY 100 PURE 907G B	,1.0000	UN	X129.88	(67.33)	129.88
20200614_Sams,114658	FILTRO DE PAPEL120UN	,1.0000	UN	X14.98	(2.30)	14.98
20200614_Sams,160421	TORRADA ALHO MEMBERS	,1.0000	UN	X21.18	(6.45)	21.18
20200614_Sams,131978	GOMA PARA TAPIOCA GO	,1.0000	UN	X9.98	(3.04)	9.98
20200614_Sams,129021	ANA MARIA GOTAS PULL	,4.0000	UN	X3.38	(4.12)	13.52
20200614_Sams,152175	DORITOS NACHO 300GR	    ,1.0000	UN	X18.38	(5.59)	18.38
20200614_Sams,152176	BATATA PALHA 425GR N	,1.0000	UN	X18.98	(5.78)	18.98
20200614_Sams,169408	SAB LIQ GLICERINA J	    ,1.0000	UN	X23.98	(12.92)	23.98
20200614_Sams,131916	BISC POLV SALGADO MM	,1.0000	UN	X10.98	(3.35)	10.98